song_id,title,artist,genre,tier,has_audio_url,has_physical_audio,audio_size_bytes,audio_sha256,has_cover_url,has_physical_cover,cover_size_bytes,cover_sha256,has_physical_lyrics,lyrics_size_bytes,lyrics_words,lyrics_sha256,release_year
RMVM_S_aafbf98cea,Búp Bê Đẹp Xinh,Thanh Thảo,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2414,442,53fb0dfd720ea5f6b150d63061e56dab5d3952ca1178d74ac71b7088e8e239cc,
RMVM_S_c44ca1da46,Đôi Mắt Ấy,Đàm Vĩnh Hưng,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1128,200,9416039badecc4ffc9e0475124b05075e9c3516b22b22bea20776d8787db0f72,
RMVM_S_5e138acfd6,Ngày Thơ Ấu Đã Xa,Minh Thuận,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2136,364,86148700981682a970a492bed440e0e0cbfc56e0c9e2ec2e58ccc3c58942958b,
RMVM_S_be9860ff21,Trái Tim Tan Nát,Thu Phương,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1163,221,d4a9bcac81c869d5f897473ae05525ed89637b26c910044b81a7b0d677209a69,
RMVM_S_a1330e32c9,Gió Vẫn Hát,"Balin, SOUND HIT",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1719,300,0a174fea79b17a4150132bb9b524c8e0da85879fb7aabb2e311723a4abe1c0e6,
RMVM_S_cce6d3ffac,Bên Nhau Để Ta Bớt Đau,Trường Kha,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1618,291,696edb8a80d631020e61fae35b6a5d29786a11caa28ba3b5326a2f99c1be39a5,
RMVM_S_c420bc3089,Anh Vẫn Tìm Em,Nguyễn Bảo Linh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2027,361,c42222bf3a113bcc2c390a4c8f526bb56f05c2f0e3e18044cd2867c297dec641,
RMVM_S_1c8489c826,Níu Kéo Hay Buông Tay (Beat),Luna Band,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1637,292,9a64537c03ad3ae69c0a8a99a5e71df61831b7d6ea8b47d3a32399bad9e38431,
RMVM_S_fd252fbd0d,Đàn Tôi Yêu Một Tiếng Ca,Mai Thiên Vân,INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,2322,399,5b23fbc9d9f6a7dc921184b5846bcae183f167939373a3bb86b611ff491eb894,
RMVM_S_bd673875ec,Khoảng Cách Anh Và Em,Đoàn Tuấn,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1649,307,effedd6b7be920bd40cdfadbfe644911b1d6716be22a2b99b2aeeeb8d2cc4776,
RMVM_S_ae039d072b,Mashup Buồn Thất Tình,Nhiều nghệ sĩ,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,4820,829,3f81d68700b32b257ceeebf8d6dfd648984c252d59c992a2be8e19df7d61a39d,
RMVM_S_9cb195a596,KHÔNG CÒN EM (ft. Wxrdie & hoangnhi.),"LOPE PHAM, Wxrdie, hoangnhi.",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2029,375,fbc3519a5e193b3598cae48e297cf8839a6966b53d3e32bd494cf4290403e149,
RMVM_S_643a979376,Ta Còn Thuộc Về Nhau (Cover),Hoàng Linh Anh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1477,253,b7f3d7a3e4834d64353999145a300b325d1538e0614375f1ea46086cfcc15093,
RMVM_S_6e9cb54f60,Bản Tình Ca Cho Giai Nhân,Quang Dũng,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1583,286,da066c3b4093936abbf34ca395bbd68104b0ad881aad5522488ec40f72b63915,
