song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement,rejection_reason
,Bản Tình Ca Màu Tím,,,,,,,,,,,,,,,,vietlyrics,ZWZC7ADC,,,,MISSING_TITLE_OR_ARTIST
,Bắt Đầu Khi Kết Thúc,,,,,,,,,,,,,,,,vietlyrics,ZW7UBD6W,,,,MISSING_TITLE_OR_ARTIST
,Bến Sầu Tương Tư,,,,,,,,,,,,,,,,vietlyrics,ZW7U9D97,,,,MISSING_TITLE_OR_ARTIST
,Bố Chẳng Đi Đâu Xa,,,,,,,,,,,,,,,,vietlyrics,ZW7UCW6E,,,,MISSING_TITLE_OR_ARTIST
,Bốn Mùa Tình Yêu,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZDUZ,,,,MISSING_TITLE_OR_ARTIST
,Bờ Đá Xanh Tạ Tội,,,,,,,,,,,,,,,,vietlyrics,ZW78I66A,,,,MISSING_TITLE_OR_ARTIST
,Cha Mẹ Là Quê Hương,,,,,,,,,,,,,,,,vietlyrics,ZW7UDZCZ,,,,MISSING_TITLE_OR_ARTIST
,Chiếc Cầu Chiều Mưa,,,,,,,,,,,,,,,,vietlyrics,ZWZDBBZ0,,,,MISSING_TITLE_OR_ARTIST
,Chiếc Vòng Cầu Hôn,,,,,,,,,,,,,,,,vietlyrics,ZWZ99OZC,,,,MISSING_TITLE_OR_ARTIST
,Chiều Cuối Năm,,,,,,,,,,,,,,,,vietlyrics,ZW6UCWF9,,,,MISSING_TITLE_OR_ARTIST
,Chiều Lên Bản Thượng,,,,,,,,,,,,,,,,vietlyrics,ZW780WOO,,,,MISSING_TITLE_OR_ARTIST
,Chiều Trên Quê Tôi,,,,,,,,,,,,,,,,vietlyrics,ZW7UBDB6,,,,MISSING_TITLE_OR_ARTIST
,Chiều Về Thăm Trường Xưa,,,,,,,,,,,,,,,,vietlyrics,ZW6UC8DW,,,,MISSING_TITLE_OR_ARTIST
,Cho Anh Quay Lại Nơi Bắt Đầu,,,,,,,,,,,,,,,,vietlyrics,ZWZD7EO7,,,,MISSING_TITLE_OR_ARTIST
,Cho Dù Cách Xa,,,,,,,,,,,,,,,,vietlyrics,ZW7UCUZZ,,,,MISSING_TITLE_OR_ARTIST
,Cho Ngày Đã Qua,,,,,,,,,,,,,,,,vietlyrics,ZWZ967FW,,,,MISSING_TITLE_OR_ARTIST
,Cho Người Tình Xa,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZWB9,,,,MISSING_TITLE_OR_ARTIST
,Chuyện Hẹn Hò,,,,,,,,,,,,,,,,vietlyrics,ZW7UCEOO,,,,MISSING_TITLE_OR_ARTIST
,Chuyện Tình Em Với Tôi,,,,,,,,,,,,,,,,vietlyrics,ZW78I96E,,,,MISSING_TITLE_OR_ARTIST
,Chuyện Tình Người Trinh Nữ Tên Thi,,,,,,,,,,,,,,,,vietlyrics,ZW7UBFUB,,,,MISSING_TITLE_OR_ARTIST
,Chàng Trai Xấu,,,,,,,,,,,,,,,,vietlyrics,ZW6UCD7O,,,,MISSING_TITLE_OR_ARTIST
,Chênh Vênh Giữa Hai Miền Cảm Xúc,,,,,,,,,,,,,,,,vietlyrics,ZW7U9DCU,,,,MISSING_TITLE_OR_ARTIST
,Chúng Tôi Đã Chia Tay,,,,,,,,,,,,,,,,vietlyrics,ZW7UD6DB,,,,MISSING_TITLE_OR_ARTIST
,Chẳng May Anh Đã Gặp Em,,,,,,,,,,,,,,,,vietlyrics,ZW78IFCE,,,,MISSING_TITLE_OR_ARTIST
,Chỉ Mong Trái Tim Người (Bí Mật Bị Thời Gian Vùi Lấp OST),,,,,,,,,,,,,,,,vietlyrics,ZW7UBUED,,,,MISSING_TITLE_OR_ARTIST
,Chờ Ai Muôn Kiếp,,,,,,,,,,,,,,,,vietlyrics,ZW78IFFI,,,,MISSING_TITLE_OR_ARTIST
,Chợt Nghe Bước Em Về (DJ Hiếu Phan Remix),,,,,,,,,,,,,,,,vietlyrics,ZW7U9IBA,,,,MISSING_TITLE_OR_ARTIST
,Close To Me (Lại Gần Em),,,,,,,,,,,,,,,,vietlyrics,ZW77F870,,,,MISSING_TITLE_OR_ARTIST
,Con Mắt Còn Lại,,,,,,,,,,,,,,,,vietlyrics,ZW66B0OE,,,,MISSING_TITLE_OR_ARTIST
,Con Sẽ Không Quên,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZDAO,,,,MISSING_TITLE_OR_ARTIST
,Con Đường Em Mơ,,,,,,,,,,,,,,,,vietlyrics,ZWZFWUC9,,,,MISSING_TITLE_OR_ARTIST
,Con Đường Đến Trường,,,,,,,,,,,,,,,,vietlyrics,ZW6UCBDD,,,,MISSING_TITLE_OR_ARTIST
,Cung Đàn Giáng Sinh,,,,,,,,,,,,,,,,vietlyrics,ZW6UCCBO,,,,MISSING_TITLE_OR_ARTIST
,Cung Đàn Xanh,,,,,,,,,,,,,,,,vietlyrics,ZW78I8AO,,,,MISSING_TITLE_OR_ARTIST
,Cuối Cùng Cho Một Tình Yêu,,,,,,,,,,,,,,,,vietlyrics,ZWZCAA9B,,,,MISSING_TITLE_OR_ARTIST
,Cuộc Tình Trong Mơ,,,,,,,,,,,,,,,,vietlyrics,ZWZ97BE0,,,,MISSING_TITLE_OR_ARTIST
,Cánh Diều Kỷ Niệm,,,,,,,,,,,,,,,,vietlyrics,ZWZCWO8F,,,,MISSING_TITLE_OR_ARTIST
,Câu Chuyện Tình Tôi,,,,,,,,,,,,,,,,vietlyrics,ZW6UCOIE,,,,MISSING_TITLE_OR_ARTIST
,Câu Chuyện Đêm (Version 2),,,,,,,,,,,,,,,,vietlyrics,ZW77FBAB,,,,MISSING_TITLE_OR_ARTIST
,Câu Hỏi Tình Yêu,,,,,,,,,,,,,,,,vietlyrics,ZW77FUUC,,,,MISSING_TITLE_OR_ARTIST
,Cây Đàn Sinh Viên,,,,,,,,,,,,,,,,vietlyrics,ZW60FD98,,,,MISSING_TITLE_OR_ARTIST
,Còn Lại Gì Cho Em,,,,,,,,,,,,,,,,vietlyrics,ZWZA709D,,,,MISSING_TITLE_OR_ARTIST
,Còn Lại Nổi Nhớ,,,,,,,,,,,,,,,,vietlyrics,ZW78WB08,,,,MISSING_TITLE_OR_ARTIST
,Còn Mãi Những Ước Mơ,,,,,,,,,,,,,,,,vietlyrics,ZW60I787,,,,MISSING_TITLE_OR_ARTIST
,Còn Mãi Tìm Anh,,,,,,,,,,,,,,,,vietlyrics,ZW7UAI90,,,,MISSING_TITLE_OR_ARTIST
